OD.plate,OD.row,OD.col,OD600.raw,OD750.raw,Blankstart.600,Blankstart.750,Blankend.600,Blankend.750,note
25.1.2,H,2,0.043,0.04,0.065,0.063,0.04,0.039,
25.1.2,A,3,0.055,0.049,0.044,0.044,0.041,0.041,
25.1.2,B,3,0.044,0.044,0.041,0.043,0.039,0.042,
25.1.2,C,3,0.042,0.039,0.04,0.039,0.039,0.039,
25.1.2,D,3,0.044,0.04,0.042,0.039,0.041,0.039,
25.1.2,E,3,0.047,0.042,0.041,0.04,0.041,0.039,
25.1.2,F,3,0.05,0.045,0.04,0.038,0.041,0.039,
25.1.2,G,3,0.042,0.041,0.041,0.041,0.04,0.04,
25.1.2,H,3,0.223,0.214,0.04,0.039,0.039,0.039,
25.1.2,A,4,0.055,0.05,0.041,0.042,0.041,0.041,
25.1.2,B,4,0.055,0.051,0.041,0.043,0.04,0.042,
25.1.2,C,4,0.052,0.046,0.041,0.04,0.041,0.039,
25.1.2,D,4,0.056,0.05,0.042,0.042,0.042,0.041,
25.1.2,E,4,0.058,0.051,0.04,0.044,0.039,0.043,
25.1.2,F,4,0.055,0.047,0.04,0.042,0.039,0.041,
25.1.2,G,4,0.052,0.046,0.04,0.041,0.039,0.04,
25.1.2,H,4,0.054,0.045,0.041,0.04,0.041,0.04,
25.1.2,A,5,0.057,0.05,0.04,0.04,0.041,0.04,
25.1.2,B,5,0.058,0.052,0.04,0.041,0.039,0.04,
25.1.2,C,5,0.139,0.116,0.042,0.041,0.04,0.039,
25.1.2,D,5,0.048,0.046,0.04,0.04,0.039,0.04,
25.1.2,E,5,0.052,0.048,0.04,0.043,0.04,0.043,
25.1.2,F,5,0.052,0.045,0.043,0.041,0.041,0.04,
25.1.2,G,5,0.052,0.048,0.04,0.043,0.039,0.043,
25.1.2,H,5,0.052,0.045,0.042,0.041,0.043,0.042,
25.1.2,A,6,0.048,0.049,0.04,0.039,0.039,0.039,
25.1.2,B,6,0.041,0.041,0.039,0.042,0.039,0.038,
25.1.2,C,6,0.046,0.042,0.041,0.04,0.041,0.039,
25.1.2,D,6,0.047,0.046,0.04,0.041,0.039,0.039,
25.1.2,E,6,0.162,0.158,0.04,0.04,0.04,0.04,
25.1.2,F,6,0.041,0.04,0.041,0.04,0.04,0.04,
25.1.2,G,6,0.367,0.347,0.041,0.042,0.041,0.041,
25.1.2,H,6,0.044,0.042,0.041,0.04,0.042,0.04,
25.1.2,A,7,0.218,0.064,0.041,0.042,0.04,0.041,
25.1.2,B,7,0.042,0.04,0.04,0.04,0.039,0.039,
25.1.2,C,7,0.045,0.046,0.04,0.04,0.04,0.039,
25.1.2,D,7,0.041,0.039,0.04,0.039,0.04,0.039,
25.1.2,E,7,0.043,0.041,0.04,0.039,0.04,0.04,
25.1.2,F,7,0.041,0.04,0.04,0.04,0.039,0.039,
25.1.2,G,7,0.045,0.044,0.045,0.044,0.045,0.045,
25.1.2,H,7,0.308,0.282,0.046,0.048,0.047,0.049,
25.1.2,A,8,0.047,0.043,0.04,0.04,0.04,0.04,
25.1.2,B,8,0.061,0.074,0.039,0.039,0.039,0.038,
25.1.2,C,8,0.075,0.073,0.04,0.04,0.039,0.039,
25.1.2,D,8,0.143,0.327,0.039,0.039,0.039,0.039,
25.1.2,E,8,0.468,0.445,0.04,0.041,0.04,0.041,
25.1.2,F,8,0.043,0.041,0.042,0.042,0.041,0.041,
25.1.2,G,8,0.09,0.094,0.041,0.042,0.041,0.041,
25.1.2,H,8,0.26,0.254,0.043,0.041,0.043,0.041,
25.1.2,A,9,0.057,0.078,0.042,0.042,0.042,0.041,
25.1.2,B,9,0.051,0.043,0.04,0.04,0.039,0.039,
25.1.2,C,9,0.047,0.043,0.041,0.041,0.04,0.04,
25.1.2,D,9,0.048,0.046,0.041,0.042,0.041,0.041,
25.1.2,E,9,0.048,0.063,0.04,0.044,0.04,0.043,
25.1.2,F,9,0.043,0.041,0.041,0.04,0.04,0.039,
25.1.2,G,9,0.052,0.054,0.04,0.043,0.039,0.042,plate 25.1.2 has bubbles in col 9 g and h and col 10 the whole way
25.1.2,H,9,0.062,0.062,0.041,0.04,0.042,0.041,plate 25.1.2 has bubbles in col 9 g and h and col 10 the whole way
25.1.2,A,10,0.308,0.263,0.04,0.039,0.041,0.041,plate 25.1.2 has bubbles in col 9 g and h and col 10 the whole way
25.1.2,B,10,0.335,0.315,0.04,0.041,0.039,0.04,plate 25.1.2 has bubbles in col 9 g and h and col 10 the whole way
25.1.2,C,10,0.061,0.066,0.04,0.039,0.04,0.039,plate 25.1.2 has bubbles in col 9 g and h and col 10 the whole way
25.1.2,D,10,0.061,0.05,0.041,0.04,0.041,0.04,plate 25.1.2 has bubbles in col 9 g and h and col 10 the whole way
25.1.2,E,10,0.124,0.121,0.04,0.041,0.041,0.042,plate 25.1.2 has bubbles in col 9 g and h and col 10 the whole way
25.1.2,F,10,0.059,0.047,0.041,0.039,0.041,0.04,plate 25.1.2 has bubbles in col 9 g and h and col 10 the whole way
25.1.2,G,10,0.06,0.052,0.042,0.041,0.041,0.04,plate 25.1.2 has bubbles in col 9 g and h and col 10 the whole way
25.1.2,H,10,0.057,0.047,0.041,0.039,0.042,0.04,plate 25.1.2 has bubbles in col 9 g and h and col 10 the whole way
25.1.2,A,11,0.05,0.044,0.043,0.043,0.041,0.042,
25.1.2,B,11,0.056,0.048,0.04,0.04,0.04,0.04,
25.1.2,C,11,0.076,0.149,0.04,0.04,0.04,0.04,
25.1.2,D,11,0.217,0.226,0.04,0.04,0.039,0.039,
25.1.2,E,11,0.056,0.048,0.04,0.041,0.04,0.041,
25.1.2,F,11,0.057,0.051,0.041,0.043,0.043,0.045,
25.1.2,G,11,0.042,0.041,0.039,0.039,0.039,0.04,
25.1.2,H,11,0.048,0.045,0.044,0.043,0.041,0.04,
25.1.2,A,12,0.094,0.095,0.042,0.041,0.041,0.041,
25.1.2,B,12,0.187,0.245,0.04,0.04,0.039,0.039,
25.1.2,C,12,0.044,0.04,0.04,0.039,0.039,0.039,
25.1.2,D,12,0.048,0.045,0.04,0.04,0.04,0.039,
25.1.2,E,12,0.233,0.455,0.04,0.04,0.041,0.04,
25.1.2,F,12,0.046,0.042,0.041,0.041,0.041,0.041,
25.1.2,G,12,0.072,0.076,0.04,0.04,0.04,0.04,
25.1.2,H,12,0.058,0.114,0.04,0.04,0.041,0.04,
26.1.2,A,1,0.048,0.044,0.041,0.041,0.045,0.043,
26.1.2,B,1,0.047,0.044,0.039,0.039,0.039,0.039,
26.1.2,C,1,0.046,0.042,0.039,0.039,0.039,0.039,
26.1.2,D,1,0.045,0.042,0.04,0.04,0.039,0.039,
26.1.2,E,1,0.058,0.05,0.04,0.041,0.04,0.041,
26.1.2,F,1,0.17,0.147,0.041,0.041,0.04,0.04,
26.1.2,G,1,0.045,0.042,0.039,0.039,0.039,0.039,
26.1.2,H,1,0.044,0.042,0.04,0.039,0.041,0.04,
26.1.2,A,2,0.153,0.14,0.042,0.042,0.04,0.041,
26.1.2,B,2,0.05,0.046,0.039,0.04,0.038,0.04,
26.1.2,C,2,0.137,0.087,0.04,0.039,0.039,0.039,
26.1.2,D,2,0.055,0.046,0.039,0.04,0.039,0.039,
26.1.2,E,2,0.064,0.056,0.039,0.041,0.039,0.041,
26.1.2,F,2,0.055,0.049,0.04,0.041,0.039,0.042,
26.1.2,G,2,0.061,0.055,0.092,0.089,0.04,0.039,
26.1.2,H,2,0.22,0.184,0.065,0.063,0.04,0.039,
26.1.2,A,3,0.201,0.189,0.044,0.044,0.041,0.041,
26.1.2,B,3,0.167,0.153,0.041,0.043,0.039,0.042,
26.1.2,C,3,0.059,0.046,0.04,0.039,0.039,0.039,
26.1.2,D,3,0.057,0.045,0.042,0.039,0.041,0.039,
26.1.2,E,3,0.063,0.055,0.041,0.04,0.041,0.039,
26.1.2,F,3,0.109,0.095,0.04,0.038,0.041,0.039,
26.1.2,G,3,0.062,0.057,0.041,0.041,0.04,0.04,
26.1.2,H,3,0.098,0.076,0.04,0.039,0.039,0.039,
26.1.2,A,4,0.057,0.078,0.041,0.042,0.041,0.041,
26.1.2,B,4,0.052,0.049,0.041,0.043,0.04,0.042,
26.1.2,C,4,0.061,0.05,0.041,0.04,0.041,0.039,
26.1.2,D,4,0.058,0.047,0.042,0.042,0.042,0.041,
26.1.2,E,4,0.059,0.091,0.04,0.044,0.039,0.043,
26.1.2,F,4,0.247,0.224,0.04,0.042,0.039,0.041,
26.1.2,G,4,0.05,0.049,0.04,0.041,0.039,0.04,
26.1.2,H,4,0.046,0.043,0.041,0.04,0.041,0.04,
26.1.2,A,5,0.048,0.044,0.04,0.04,0.041,0.04,
26.1.2,B,5,0.059,0.055,0.04,0.041,0.039,0.04,
26.1.2,C,5,0.049,0.045,0.042,0.041,0.04,0.039,
26.1.2,D,5,0.061,0.054,0.04,0.04,0.039,0.04,
26.1.2,E,5,0.051,0.048,0.04,0.043,0.04,0.043,
26.1.2,F,5,0.051,0.044,0.043,0.041,0.041,0.04,
26.1.2,G,5,0.047,0.047,0.04,0.043,0.039,0.043,
26.1.2,H,5,0.048,0.044,0.042,0.041,0.043,0.042,
26.1.2,A,6,0.04,0.039,0.04,0.039,0.039,0.039,
26.1.2,B,6,0.04,0.039,0.039,0.042,0.039,0.038,
26.1.2,C,6,0.041,0.039,0.041,0.04,0.041,0.039,
26.1.2,D,6,0.04,0.04,0.04,0.041,0.039,0.039,
26.1.2,E,6,0.05,0.047,0.04,0.04,0.04,0.04,
26.1.2,F,6,0.04,0.039,0.041,0.04,0.04,0.04,
26.1.2,G,6,0.055,0.053,0.041,0.042,0.041,0.041,
26.1.2,H,6,0.043,0.041,0.041,0.04,0.042,0.04,
26.1.2,A,7,0.047,0.044,0.041,0.042,0.04,0.041,
26.1.2,B,7,0.046,0.043,0.04,0.04,0.039,0.039,
26.1.2,C,7,0.045,0.043,0.04,0.04,0.04,0.039,
26.1.2,D,7,0.072,0.061,0.04,0.039,0.04,0.039,
26.1.2,E,7,0.052,0.046,0.04,0.039,0.04,0.04,
26.1.2,F,7,0.069,0.067,0.04,0.04,0.039,0.039,
26.1.2,G,7,0.058,0.06,0.045,0.044,0.045,0.045,
26.1.2,H,7,0.095,0.096,0.046,0.048,0.047,0.049,
26.1.2,A,8,0.047,0.043,0.04,0.04,0.04,0.04,
26.1.2,B,8,0.048,0.045,0.039,0.039,0.039,0.038,
26.1.2,C,8,0.05,0.046,0.04,0.04,0.039,0.039,
26.1.2,D,8,0.089,0.072,0.039,0.039,0.039,0.039,
26.1.2,E,8,0.048,0.044,0.04,0.041,0.04,0.041,
26.1.2,F,8,0.148,0.123,0.042,0.042,0.041,0.041,
26.1.2,G,8,0.048,0.045,0.041,0.042,0.041,0.041,
26.1.2,H,8,0.051,0.045,0.043,0.041,0.043,0.041,
26.1.2,A,9,0.058,0.051,0.042,0.042,0.042,0.041,
26.1.2,B,9,0.053,0.047,0.04,0.04,0.039,0.039,
26.1.2,C,9,0.063,0.069,0.041,0.041,0.04,0.04,
26.1.2,D,9,0.079,0.083,0.041,0.042,0.041,0.041,
26.1.2,E,9,0.049,0.048,0.04,0.044,0.04,0.043,
26.1.2,F,9,0.053,0.047,0.041,0.04,0.04,0.039,
26.1.2,G,9,0.045,0.045,0.04,0.043,0.039,0.042,
26.1.2,H,9,0.041,0.039,0.041,0.04,0.042,0.041,
26.1.2,A,10,0.05,0.045,0.04,0.039,0.041,0.041,
26.1.2,B,10,0.048,0.047,0.04,0.041,0.039,0.04,
26.1.2,C,10,0.084,0.059,0.04,0.039,0.04,0.039,
26.1.2,D,10,0.046,0.05,0.041,0.04,0.041,0.04,
26.1.2,E,10,0.112,0.084,0.04,0.041,0.041,0.042,
26.1.2,F,10,0.062,0.052,0.041,0.039,0.041,0.04,
26.1.2,G,10,0.058,0.048,0.042,0.041,0.041,0.04,
26.1.2,H,10,0.054,0.045,0.041,0.039,0.042,0.04,
26.1.2,A,11,0.054,0.048,0.043,0.043,0.041,0.042,
26.1.2,B,11,0.052,0.047,0.04,0.04,0.04,0.04,
26.1.2,C,11,0.044,0.041,0.04,0.04,0.04,0.04,
26.1.2,D,11,0.044,0.041,0.04,0.04,0.039,0.039,
26.1.2,E,11,0.054,0.049,0.04,0.041,0.04,0.041,
26.1.2,F,11,0.049,0.047,0.041,0.043,0.043,0.045,
26.1.2,G,11,0.047,0.044,0.039,0.039,0.039,0.04,
26.1.2,H,11,0.043,0.041,0.044,0.043,0.041,0.04,
26.1.2,A,12,0.042,0.04,0.042,0.041,0.041,0.041,
26.1.2,B,12,0.04,0.039,0.04,0.04,0.039,0.039,
26.1.2,C,12,0.041,0.039,0.04,0.039,0.039,0.039,
26.1.2,D,12,0.043,0.041,0.04,0.04,0.04,0.039,
26.1.2,E,12,0.042,0.041,0.04,0.04,0.041,0.04,
26.1.2,F,12,0.041,0.04,0.041,0.041,0.041,0.041,
26.1.2,G,12,0.044,0.041,0.04,0.04,0.04,0.04,
26.1.2,H,12,0.044,0.046,0.04,0.04,0.041,0.04,
27.1.2,A,1,0.047,0.043,0.041,0.041,0.045,0.043,
27.1.2,B,1,0.051,0.047,0.039,0.039,0.039,0.039,
27.1.2,C,1,0.057,0.047,0.039,0.039,0.039,0.039,
27.1.2,D,1,0.058,0.049,0.04,0.04,0.039,0.039,
27.1.2,E,1,0.06,0.05,0.04,0.041,0.04,0.041,
27.1.2,F,1,0.06,0.05,0.041,0.041,0.04,0.04,
27.1.2,G,1,0.059,0.047,0.039,0.039,0.039,0.039,
27.1.2,H,1,0.315,0.264,0.04,0.039,0.041,0.04,
27.1.2,A,2,0.049,0.044,0.042,0.042,0.04,0.041,
27.1.2,B,2,0.051,0.047,0.039,0.04,0.038,0.04,
27.1.2,C,2,0.046,0.041,0.04,0.039,0.039,0.039,
27.1.2,D,2,0.044,0.04,0.039,0.04,0.039,0.039,
27.1.2,E,2,0.054,0.047,0.039,0.041,0.039,0.041,
27.1.2,F,2,0.055,0.049,0.04,0.041,0.039,0.042,
27.1.2,G,2,0.049,0.043,0.092,0.089,0.04,0.039,
27.1.2,H,2,0.045,0.041,0.065,0.063,0.04,0.039,
27.1.2,A,3,0.048,0.044,0.044,0.044,0.041,0.041,
27.1.2,B,3,0.048,0.046,0.041,0.043,0.039,0.042,
27.1.2,C,3,0.108,0.089,0.04,0.039,0.039,0.039,
27.1.2,D,3,0.054,0.048,0.042,0.039,0.041,0.039,
27.1.2,E,3,0.054,0.046,0.041,0.04,0.041,0.039,
27.1.2,F,3,0.057,0.047,0.04,0.038,0.041,0.039,
27.1.2,G,3,0.057,0.05,0.041,0.041,0.04,0.04,
27.1.2,H,3,0.053,0.045,0.04,0.039,0.039,0.039,
27.1.2,A,4,0.043,0.044,0.041,0.042,0.041,0.041,
27.1.2,B,4,0.046,0.046,0.041,0.043,0.04,0.042,
27.1.2,C,4,0.042,0.039,0.041,0.04,0.041,0.039,
27.1.2,D,4,0.063,0.05,0.042,0.042,0.042,0.041,
27.1.2,E,4,0.043,0.056,0.04,0.044,0.039,0.043,
27.1.2,F,4,0.088,0.104,0.04,0.042,0.039,0.041,
27.1.2,G,4,0.297,0.261,0.04,0.041,0.039,0.04,
27.1.2,H,4,0.068,0.071,0.041,0.04,0.041,0.04,
27.1.2,A,5,0.042,0.041,0.04,0.04,0.041,0.04,
27.1.2,B,5,0.041,0.041,0.04,0.041,0.039,0.04,
27.1.2,C,5,0.044,0.04,0.042,0.041,0.04,0.039,
27.1.2,D,5,0.09,0.096,0.04,0.04,0.039,0.04,
27.1.2,E,5,0.086,0.067,0.04,0.043,0.04,0.043,
27.1.2,F,5,0.042,0.04,0.043,0.041,0.041,0.04,
27.1.2,G,5,0.061,0.059,0.04,0.043,0.039,0.043,
27.1.2,H,5,0.043,0.042,0.042,0.041,0.043,0.042,
27.1.2,A,6,0.054,0.044,0.04,0.039,0.039,0.039,
27.1.2,B,6,0.054,0.044,0.039,0.042,0.039,0.038,
27.1.2,C,6,0.083,0.082,0.041,0.04,0.041,0.039,
27.1.2,D,6,0.044,0.042,0.04,0.041,0.039,0.039,
27.1.2,E,6,0.054,0.045,0.04,0.04,0.04,0.04,
27.1.2,F,6,0.053,0.045,0.041,0.04,0.04,0.04,
27.1.2,G,6,0.05,0.045,0.041,0.042,0.041,0.041,
27.1.2,H,6,0.051,0.045,0.041,0.04,0.042,0.04,
27.1.2,A,7,0.047,0.043,0.041,0.042,0.04,0.041,
27.1.2,B,7,0.048,0.044,0.04,0.04,0.039,0.039,
27.1.2,C,7,0.048,0.045,0.04,0.04,0.04,0.039,
27.1.2,D,7,0.049,0.044,0.04,0.039,0.04,0.039,
27.1.2,E,7,0.047,0.044,0.04,0.039,0.04,0.04,
27.1.2,F,7,0.046,0.043,0.04,0.04,0.039,0.039,
27.1.2,G,7,0.057,0.051,0.045,0.044,0.045,0.045,
27.1.2,H,7,0.064,0.059,0.046,0.048,0.047,0.049,
27.1.2,A,8,0.052,0.044,0.04,0.04,0.04,0.04,
27.1.2,B,8,0.052,0.043,0.039,0.039,0.039,0.038,
27.1.2,C,8,0.044,0.04,0.04,0.04,0.039,0.039,
27.1.2,D,8,0.046,0.042,0.039,0.039,0.039,0.039,
27.1.2,E,8,0.043,0.042,0.04,0.041,0.04,0.041,
27.1.2,F,8,0.042,0.041,0.042,0.042,0.041,0.041,
27.1.2,G,8,0.048,0.046,0.041,0.042,0.041,0.041,
27.1.2,H,8,0.048,0.044,0.043,0.041,0.043,0.041,
27.1.2,A,9,0.051,0.046,0.042,0.042,0.042,0.041,
27.1.2,B,9,0.087,0.082,0.04,0.04,0.039,0.039,
27.1.2,C,9,0.155,0.171,0.041,0.041,0.04,0.04,
27.1.2,D,9,0.232,0.201,0.041,0.042,0.041,0.041,
27.1.2,E,9,0.277,0.224,0.04,0.044,0.04,0.043,
27.1.2,F,9,0.133,0.124,0.041,0.04,0.04,0.039,
27.1.2,G,9,0.044,0.046,0.04,0.043,0.039,0.042,
27.1.2,H,9,0.072,0.066,0.041,0.04,0.042,0.041,
27.1.2,A,10,0.219,0.187,0.04,0.039,0.041,0.041,
27.1.2,B,10,0.067,0.07,0.04,0.041,0.039,0.04,
27.1.2,C,10,0.058,0.059,0.04,0.039,0.04,0.039,
27.1.2,D,10,0.086,0.082,0.041,0.04,0.041,0.04,
27.1.2,E,10,0.115,0.111,0.04,0.041,0.041,0.042,
27.1.2,F,10,0.065,0.064,0.041,0.039,0.041,0.04,
27.1.2,G,10,0.135,0.118,0.042,0.041,0.041,0.04,
27.1.2,H,10,0.055,0.051,0.041,0.039,0.042,0.04,
27.1.2,A,11,0.114,0.082,0.043,0.043,0.041,0.042,
27.1.2,B,11,0.039,0.039,0.04,0.04,0.04,0.04,
27.1.2,C,11,0.04,0.043,0.04,0.04,0.04,0.04,
27.1.2,D,11,0.04,0.039,0.04,0.04,0.039,0.039,
27.1.2,E,11,0.122,0.106,0.04,0.041,0.04,0.041,
27.1.2,F,11,0.045,0.046,0.041,0.043,0.043,0.045,
27.1.2,G,11,0.059,0.058,0.039,0.039,0.039,0.04,
27.1.2,H,11,0.042,0.041,0.044,0.043,0.041,0.04,
27.1.2,A,12,0.049,0.044,0.042,0.041,0.041,0.041,
27.1.2,B,12,0.044,0.041,0.04,0.04,0.039,0.039,
27.1.2,C,12,0.042,0.04,0.04,0.039,0.039,0.039,
27.1.2,D,12,0.041,0.04,0.04,0.04,0.04,0.039,
27.1.2,E,12,0.045,0.043,0.04,0.04,0.041,0.04,
27.1.2,F,12,0.05,0.048,0.041,0.041,0.041,0.041,
27.1.2,G,12,0.07,0.057,0.04,0.04,0.04,0.04,
27.1.2,H,12,0.048,0.044,0.04,0.04,0.041,0.04,
28.1.2,A,1,0.042,0.04,0.041,0.041,0.045,0.043,
28.1.2,B,1,0.04,0.04,0.039,0.039,0.039,0.039,
28.1.2,C,1,0.04,0.039,0.039,0.039,0.039,0.039,
28.1.2,D,1,0.04,0.039,0.04,0.04,0.039,0.039,
28.1.2,E,1,0.041,0.041,0.04,0.041,0.04,0.041,
28.1.2,F,1,0.041,0.04,0.041,0.041,0.04,0.04,
28.1.2,G,1,0.089,0.091,0.039,0.039,0.039,0.039,
28.1.2,H,1,0.048,0.045,0.04,0.039,0.041,0.04,
28.1.2,A,2,0.057,0.048,0.042,0.042,0.04,0.041,
28.1.2,B,2,0.068,0.066,0.039,0.04,0.038,0.04,
28.1.2,C,2,0.045,0.043,0.04,0.039,0.039,0.039,
28.1.2,D,2,0.043,0.042,0.039,0.04,0.039,0.039,
28.1.2,E,2,0.056,0.049,0.039,0.041,0.039,0.041,
28.1.2,F,2,0.054,0.049,0.04,0.041,0.039,0.042,
28.1.2,G,2,0.068,0.059,0.092,0.089,0.04,0.039,
28.1.2,H,2,0.052,0.047,0.065,0.063,0.04,0.039,
28.1.2,A,3,0.105,0.098,0.044,0.044,0.041,0.041,
28.1.2,B,3,0.067,0.064,0.041,0.043,0.039,0.042,
28.1.2,C,3,0.058,0.06,0.04,0.039,0.039,0.039,
28.1.2,D,3,0.046,0.043,0.042,0.039,0.041,0.039,
28.1.2,E,3,0.049,0.044,0.041,0.04,0.041,0.039,
28.1.2,F,3,0.127,0.098,0.04,0.038,0.041,0.039,
28.1.2,G,3,0.197,0.167,0.041,0.041,0.04,0.04,
28.1.2,H,3,0.155,0.172,0.04,0.039,0.039,0.039,
28.1.2,A,4,0.049,0.048,0.041,0.042,0.041,0.041,
28.1.2,B,4,0.041,0.043,0.041,0.043,0.04,0.042,
28.1.2,C,4,0.197,0.165,0.041,0.04,0.041,0.039,
28.1.2,D,4,0.043,0.042,0.042,0.042,0.042,0.041,
28.1.2,E,4,0.041,0.044,0.04,0.044,0.039,0.043,
28.1.2,F,4,0.042,0.042,0.04,0.042,0.039,0.041,
28.1.2,G,4,0.04,0.041,0.04,0.041,0.039,0.04,
28.1.2,H,4,0.04,0.039,0.041,0.04,0.041,0.04,
28.1.2,A,5,0.044,0.042,0.04,0.04,0.041,0.04,
28.1.2,B,5,0.044,0.044,0.04,0.041,0.039,0.04,
28.1.2,C,5,0.048,0.044,0.042,0.041,0.04,0.039,
28.1.2,D,5,0.044,0.043,0.04,0.04,0.039,0.04,
28.1.2,E,5,0.098,0.085,0.04,0.043,0.04,0.043,
28.1.2,F,5,0.051,0.044,0.043,0.041,0.041,0.04,
28.1.2,G,5,0.04,0.044,0.04,0.043,0.039,0.043,
28.1.2,H,5,0.056,0.051,0.042,0.041,0.043,0.042,
28.1.2,A,6,0.042,0.04,0.04,0.039,0.039,0.039,
28.1.2,B,6,0.041,0.038,0.039,0.042,0.039,0.038,
28.1.2,C,6,0.042,0.04,0.041,0.04,0.041,0.039,
28.1.2,D,6,0.041,0.04,0.04,0.041,0.039,0.039,
28.1.2,E,6,0.043,0.04,0.04,0.04,0.04,0.04,
28.1.2,F,6,0.041,0.04,0.041,0.04,0.04,0.04,
28.1.2,G,6,0.041,0.041,0.041,0.042,0.041,0.041,
28.1.2,H,6,0.042,0.039,0.041,0.04,0.042,0.04,
28.1.2,A,7,0.046,0.042,0.041,0.042,0.04,0.041,
28.1.2,B,7,0.06,0.059,0.04,0.04,0.039,0.039,
28.1.2,C,7,0.04,0.039,0.04,0.04,0.04,0.039,
28.1.2,D,7,0.04,0.039,0.04,0.039,0.04,0.039,
28.1.2,E,7,0.095,0.081,0.04,0.039,0.04,0.04,
28.1.2,F,7,0.04,0.039,0.04,0.04,0.039,0.039,
28.1.2,G,7,0.047,0.044,0.045,0.044,0.045,0.045,
28.1.2,H,7,0.049,0.049,0.046,0.048,0.047,0.049,
28.1.2,A,8,0.055,0.047,0.04,0.04,0.04,0.04,
28.1.2,B,8,0.045,0.04,0.039,0.039,0.039,0.038,
28.1.2,C,8,0.042,0.039,0.04,0.04,0.039,0.039,
28.1.2,D,8,0.046,0.042,0.039,0.039,0.039,0.039,
28.1.2,E,8,0.049,0.046,0.04,0.041,0.04,0.041,
28.1.2,F,8,0.061,0.055,0.042,0.042,0.041,0.041,
28.1.2,G,8,0.072,0.069,0.041,0.042,0.041,0.041,
28.1.2,H,8,0.053,0.05,0.043,0.041,0.043,0.041,
28.1.2,A,9,0.131,0.121,0.042,0.042,0.042,0.041,
28.1.2,B,9,0.044,0.041,0.04,0.04,0.039,0.039,
28.1.2,C,9,0.047,0.042,0.041,0.041,0.04,0.04,
28.1.2,D,9,0.045,0.042,0.041,0.042,0.041,0.041,
28.1.2,E,9,0.205,0.177,0.04,0.044,0.04,0.043,
28.1.2,F,9,0.042,0.041,0.041,0.04,0.04,0.039,
28.1.2,G,9,0.043,0.044,0.04,0.043,0.039,0.042,
28.1.2,H,9,0.044,0.04,0.041,0.04,0.042,0.041,
28.1.2,A,10,0.041,0.04,0.04,0.039,0.041,0.041,
28.1.2,B,10,0.041,0.04,0.04,0.041,0.039,0.04,
28.1.2,C,10,0.041,0.039,0.04,0.039,0.04,0.039,
28.1.2,D,10,0.043,0.04,0.041,0.04,0.041,0.04,
28.1.2,E,10,0.042,0.042,0.04,0.041,0.041,0.042,
28.1.2,F,10,0.043,0.039,0.041,0.039,0.041,0.04,
28.1.2,G,10,0.043,0.041,0.042,0.041,0.041,0.04,
28.1.2,H,10,0.042,0.04,0.041,0.039,0.042,0.04,
28.1.2,A,11,0.054,0.049,0.043,0.043,0.041,0.042,
28.1.2,B,11,0.091,0.077,0.04,0.04,0.04,0.04,
28.1.2,C,11,0.058,0.048,0.04,0.04,0.04,0.04,plate.28.1.2. c11 has bubbles at edge
28.1.2,D,11,0.088,0.07,0.04,0.04,0.039,0.039,
28.1.2,E,11,0.052,0.049,0.04,0.041,0.04,0.041,
28.1.2,F,11,0.127,0.116,0.041,0.043,0.043,0.045,
28.1.2,G,11,0.044,0.041,0.039,0.039,0.039,0.04,
28.1.2,H,11,0.043,0.041,0.044,0.043,0.041,0.04,
28.1.2,A,12,0.046,0.042,0.042,0.041,0.041,0.041,
28.1.2,B,12,0.043,0.04,0.04,0.04,0.039,0.039,
28.1.2,C,12,0.042,0.041,0.04,0.039,0.039,0.039,
28.1.2,D,12,0.041,0.04,0.04,0.04,0.04,0.039,
28.1.2,E,12,0.042,0.04,0.04,0.04,0.041,0.04,
28.1.2,F,12,0.044,0.042,0.041,0.041,0.041,0.041,
28.1.2,G,12,0.043,0.041,0.04,0.04,0.04,0.04,
28.1.2,H,12,0.041,0.039,0.04,0.04,0.041,0.04,
29.1.2,A,1,0.393,0.338,0.041,0.041,0.045,0.043,"plate 29.1.2 has a little bit of column 7 in column 1 or column 2, it did not noticeably affect volume so not redone"
29.1.2,B,1,0.222,0.18,0.039,0.039,0.039,0.039,"plate 29.1.2 has a little bit of column 7 in column 1 or column 2, it did not noticeably affect volume so not redone"
29.1.2,C,1,0.307,0.228,0.039,0.039,0.039,0.039,"plate 29.1.2 has a little bit of column 7 in column 1 or column 2, it did not noticeably affect volume so not redone"
29.1.2,D,1,0.111,0.108,0.04,0.04,0.039,0.039,"plate 29.1.2 has a little bit of column 7 in column 1 or column 2, it did not noticeably affect volume so not redone"
29.1.2,E,1,0.057,0.052,0.04,0.041,0.04,0.041,"plate 29.1.2 has a little bit of column 7 in column 1 or column 2, it did not noticeably affect volume so not redone"
29.1.2,F,1,0.373,0.309,0.041,0.041,0.04,0.04,"plate 29.1.2 has a little bit of column 7 in column 1 or column 2, it did not noticeably affect volume so not redone"
29.1.2,G,1,0.067,0.07,0.039,0.039,0.039,0.039,"plate 29.1.2 has a little bit of column 7 in column 1 or column 2, it did not noticeably affect volume so not redone"
29.1.2,H,1,0.052,0.05,0.04,0.039,0.041,0.04,"plate 29.1.2 has a little bit of column 7 in column 1 or column 2, it did not noticeably affect volume so not redone"
