plate,row,column ,genotype,BZT,microbe,Salt,BZT,0.FN,2.FN,4.FN,6.FN,8.FN,10.FN,unfixed.error,note
5.I,A,4,Tph,B,-,S,,2,2,3,3,4,5,,
5.I,A,5,Mck,B,-,S,,2,2,5,5,6,10,,
5.I,A,6,Lyt,B,-,S,,2,2,2,4,4,6,,
5.I,B,1,AjW,B,+,0,,3,3,4,4,3,3,,
5.I,B,2,Swn,B,+,0,,1,1,1,1,1,1,,
5.I,B,3,Ars,B,+,0,,2,2,2,2,2,2,,
5.I,B,4,Tph,B,+,0,,2,2,4,5,5,6,,
5.I,B,5,Mck,B,+,0,,1,1,1,1,2,2,,
5.I,B,6,Lyt,B,+,0,,2,2,3,4,5,8,,
5.I,C,1,AjW,B,-,0,,4,3,2,2,2,2,,
5.I,C,2,Swn,B,-,0,,2,2,2,4,4,2,,
5.I,C,3,Ars,B,-,0,,2,3,5,5,5,6,,
5.I,C,4,Tph,B,-,0,,2,3,2,4,5,5,,
5.I,C,5,Mck,B,-,0,,3,3,5,7,6,8,,
5.I,C,6,Lyt,B,-,0,,1,2,2,3,3,4,,
5.I,D,1,AjW,B,+,S,,3,3,5,10,6,8,,
5.I,D,2,Swn,B,+,S,,3,3,2,3,1,2,,
5.I,D,3,Ars,B,+,S,,3,2,3,5,3,4,,
5.I,D,4,Tph,B,+,S,,3,2,3,4,3,3,,
5.I,D,5,Mck,B,+,S,,3,2,2,2,2,2,,
5.I,D,6,Lyt,B,+,S,,2,2,4,6,10,14,,
5.II,A,1,AjW,0,-,0,,4,3,2,2,2,2,,
5.II,A,2,Swn,0,-,0,,2,2,1,2,2,3,,
5.II,A,3,Ars,0,-,0,,3,2,2,3,3,3,,
5.II,A,4,Tph,0,-,0,,2,3,3,4,5,8,,
5.II,A,5,Mck,0,-,0,,2,2,4,6,4,10,,
5.II,A,6,Lyt,0,-,0,,2,2,2,2,3,5,,
5.II,B,1,AjW,0,+,S,,3,3,3,4,3,2,,
5.II,B,2,Swn,0,+,S,,2,2,1,1,2,1,,
5.II,B,3,Ars,0,+,S,,2,2,2,3,6,3,,
5.II,B,4,Tph,0,+,S,,1,2,2,3,5,5,,
5.II,B,5,Mck,0,+,S,,1,1,1,1,1,3,,
5.II,B,6,Lyt,0,+,S,,2,2,2,4,6,9,,
5.II,C,1,AjW,0,-,S,,4,4,3,8,8,5,,
5.II,C,2,Swn,0,-,S,,1,1,2,1,1,1,,
5.II,C,3,Ars,0,-,S,,2,2,3,4,3,4,,
5.II,C,4,Tph,0,-,S,,1,2,2,5,7,9,,
5.II,C,5,Mck,0,-,S,,2,3,3,4,5,8,,
5.II,C,6,Lyt,0,-,S,,2,2,2,4,6,8,,
5.II,D,1,AjW,0,+,0,,3,4,2,4,2,3,,
5.II,D,2,Swn,0,+,0,,1,1,1,1,1,1,,
5.II,D,3,Ars,0,+,0,,3,3,3,4,3,5,,
5.II,D,4,Tph,0,+,0,,2,4,4,6,10,10,,
5.II,D,5,Mck,0,+,0,,1,2,2,2,2,2,,
5.II,D,6,Lyt,0,+,0,,3,3,3,4,7,7,,
6.I,A,1,Cny,0,+,0,,2,4,4,7,8,9,,
6.I,A,2,McT,0,+,0,,2,2,2,4,4,5,,
6.I,A,3,Arb,0,+,0,,2,2,2,1,2,1,,
6.I,A,4,Sgb,0,+,0,,3,2,3,2,2,2,,
6.I,A,5,ClD,0,+,0,,2,3,3,5,5,5,,
6.I,A,6,Wll,0,+,0,,2,2,2,4,3,4,,
6.I,B,1,Cny,B,-,0,,2,5,5,6,5,5,,
6.I,B,2,McT,B,-,0,,1,2,2,4,5,5,,
6.I,B,3,Arb,B,-,0,,3,3,2,2,2,2,,
6.I,B,4,Sgb,B,-,0,,2,3,2,2,3,3,,
6.I,B,5,ClD,B,-,0,,2,5,6,6,5,5,,
6.I,B,6,Wll,B,-,0,,2,3,3,3,4,4,,
6.I,C,1,Cny,B,-,S,,3,3,3,5,4,4,,
6.I,C,2,McT,B,-,S,,2,2,3,4,4,4,,
6.I,C,3,Arb,B,-,S,,4,4,4,3,3,4,,
6.I,C,4,Sgb,B,-,S,,2,2,2,1,1,1,,
6.I,C,5,ClD,B,-,S,,2,3,4,4,3,3,,
6.I,C,6,Wll,B,-,S,,3,2,2,4,4,4,,
6.I,D,1,Cny,0,-,S,,4,3,3,3,3,3,,
6.I,D,2,McT,0,-,S,,2,4,3,3,3,4,,
6.I,D,3,Arb,0,-,S,,4,4,4,3,3,3,,
6.I,D,4,Sgb,0,-,S,,2,2,2,2,3,3,,
6.I,D,5,ClD,0,-,S,,2,4,4,5,5,6,,
6.I,D,6,Wll,0,-,S,,2,2,4,5,5,3,,
6.II,A,1,Cny,0,-,0,,2,2,2,3,4,4,,
6.II,A,2,McT,0,-,0,,2,3,4,7,11,14,,
6.II,A,3,Arb,0,-,0,,3,3,2,2,2,2,,
6.II,A,4,Sgb,0,-,0,,2,3,1,1,1,1,,
6.II,A,5,ClD,0,-,0,,2,3,3,4,4,5,,
6.II,A,6,Wll,0,-,0,,3,4,6,9,8,9,,
6.II,B,1,Cny,B,+,S,,3,3,2,2,2,3,,
6.II,B,2,McT,B,+,S,,2,2,4,5,7,7,,
6.II,B,3,Arb,B,+,S,,2,2,2,1,1,2,,
6.II,B,4,Sgb,B,+,S,,1,1,1,1,1,1,,
6.II,B,5,ClD,B,+,S,,3,3,4,3,4,4,,
6.II,B,6,Wll,B,+,S,,2,2,4,5,5,5,,
6.II,C,1,Cny,B,+,0,,3,4,4,6,5,4,,
6.II,C,2,McT,B,+,0,,2,4,4,6,10,11,,
