plate,row,column ,genotype,BZT,microbe,Salt,BZT,0.FN,2.FN,4.FN,6.FN,8.FN,10.FN,unfixed.error,note
17.I,C,6,EPP,B,-,0,,2,2,3,3,2,4,,
17.I,D,1,Sgb,B,+,S,,2,2,2,2,1,1,,
17.I,D,2,Trr,B,+,S,,2,4,4,8,8,9,,
17.I,D,3,Scg,B,+,S,,2,2,2,3,2,5,,
17.I,D,4,CnP,B,+,S,,2,2,2,3,5,8,,
17.I,D,5,Scg,B,+,S,,2,2,4,4,8,9,,
17.I,D,6,EPP,B,+,S,,3,3,4,3,2,3,,
17.II,A,1,Sgb,0,+,S,,3,2,2,3,3,3,,
17.II,A,2,Trr,0,+,S,,3,4,5,8,10,10,,
17.II,A,3,Scg,0,+,S,,1,2,2,4,6,6,,
17.II,A,4,CnP,0,+,S,,2,2,2,2,1,2,,
17.II,A,5,Scg,0,+,S,,2,2,3,3,5,7,,
17.II,A,6,EPP,0,+,S,,1,2,2,2,1,0,,
17.II,B,1,Sgb,0,+,0,,2,1,1,1,1,1,,
17.II,B,2,Trr,0,+,0,,3,3,3,3,4,5,,
17.II,B,3,Scg,0,+,0,,4,4,3,2,1,4,,
17.II,B,4,CnP,0,+,0,,2,3,4,5,5,7,,
17.II,B,5,Scg,0,+,0,,2,4,4,4,5,7,,
17.II,B,6,EPP,0,+,0,,2,2,4,3,3,6,,
17.II,C,1,Sgb,B,-,S,,3,3,3,2,2,2,,
17.II,C,2,Trr,B,-,S,,2,2,4,3,2,3,,
17.II,C,3,Scg,B,-,S,,2,2,4,5,4,4,,
17.II,C,4,CnP,B,-,S,,2,2,4,3,4,4,,
17.II,C,5,Scg,B,-,S,,2,4,4,4,3,5,,
17.II,C,6,EPP,B,-,S,,2,2,2,2,2,1,,
17.II,D,1,Sgb,0,-,S,,4,5,4,4,4,4,,
17.II,D,2,Trr,0,-,S,,2,3,5,5,4,6,,
17.II,D,3,Scg,0,-,S,,2,2,3,2,2,2,,
17.II,D,4,CnP,0,-,S,,3,3,5,5,6,6,,
17.II,D,5,Scg,0,-,S,,2,2,3,4,3,4,,
17.II,D,6,EPP,0,-,S,,2,2,2,2,2,2,,
18.I,A,1,Okb,0,+,S,,2,3,2,2,3,3,,
18.I,A,2,Nnq,0,+,S,,2,2,3,1,1,1,,
18.I,A,3,KSR,0,+,S,,3,3,2,3,2,5,,
18.I,A,4,Brk,0,+,S,,2,2,2,5,6,6,,
18.I,A,5,RdM,0,+,S,,2,4,6,5,5,13,,
18.I,A,6,ClD,0,+,S,,3,3,5,6,9,14,,from Stn to ClD to correct setup error on plate 13
18.I,B,1,Okb,0,+,0,,2,3,4,5,5,7,,
18.I,B,2,Nnq,0,+,0,,3,3,3,3,3,3,,
18.I,B,3,KSR,0,+,0,,2,2,3,2,2,4,,
18.I,B,4,Brk,0,+,0,,1,1,1,0,0,0,,
18.I,B,5,RdM,0,+,0,,2,4,4,8,7,13,,
18.I,B,6,ClD,0,+,0,,2,3,3,6,7,10,,from Stn to ClD to correct setup error on plate 13
18.I,C,1,Okb,B,-,0,,2,2,3,3,4,4,,
18.I,C,2,Nnq,B,-,0,,3,3,2,2,2,2,,
18.I,C,3,KSR,B,-,0,,2,2,3,2,2,4,,
18.I,C,4,Brk,B,-,0,,2,3,3,1,1,1,,
18.I,C,5,RdM,B,-,0,,2,3,2,4,4,5,,
18.I,C,6,ClD,B,-,0,,2,2,3,4,3,5,,from Stn to ClD to correct setup error on plate 13
18.I,D,1,Okb,0,-,0,,2,2,1,1,1,1,,
18.I,D,2,Nnq,0,-,0,,2,2,2,2,3,3,,
18.I,D,3,KSR,0,-,0,,2,2,2,2,3,3,,
18.I,D,4,Brk,0,-,0,,2,3,2,3,3,3,,
18.I,D,5,RdM,0,-,0,,2,4,7,9,11,12,,
18.I,D,6,ClD,0,-,0,,2,2,2,3,3,4,,from Stn to ClD to correct setup error on plate 13
18.II,A,1,Okb,0,-,S,,1,1,3,5,4,4,,
18.II,A,2,Nnq,0,-,S,,3,2,2,4,3,4,,
18.II,A,3,KSR,0,-,S,,2,2,3,3,3,3,,
18.II,A,4,Brk,0,-,S,,3,3,3,3,4,7,,
18.II,A,5,RdM,0,-,S,,2,3,3,7,7,10,,
18.II,A,6,ClD,0,-,S,,2,3,4,5,7,7,,from Stn to ClD to correct setup error on plate 13
18.II,B,1,Okb,B,-,S,,3,3,4,2,5,5,,
18.II,B,2,Nnq,B,-,S,,2,2,1,1,1,1,,
18.II,B,3,KSR,B,-,S,,1,2,4,4,4,5,,
18.II,B,4,Brk,B,-,S,,2,4,5,6,5,5,,
18.II,B,5,RdM,B,-,S,,2,2,3,4,4,5,,
18.II,B,6,ClD,B,-,S,,2,4,4,4,3,6,,from Stn to ClD to correct setup error on plate 13
18.II,C,1,Okb,B,+,S,,2,1,1,1,1,0,,
18.II,C,2,Nnq,B,+,S,,3,2,2,1,1,3,,
18.II,C,3,KSR,B,+,S,,3,4,5,4,4,5,,
18.II,C,4,Brk,B,+,S,,2,4,4,3,3,5,,
18.II,C,5,RdM,B,+,S,,1,2,2,2,2,3,,
18.II,C,6,ClD,B,+,S,,2,2,4,3,2,4,,from Stn to ClD to correct setup error on plate 13
18.II,D,1,Okb,B,+,0,,1,2,4,3,3,3,,
18.II,D,2,Nnq,B,+,0,,3,2,2,1,1,2,,
18.II,D,3,KSR,B,+,0,,1,2,2,2,2,3,,
18.II,D,4,Brk,B,+,0,,3,4,4,2,1,2,,
18.II,D,5,RdM,B,+,0,,2,2,4,4,4,5,,
18.II,D,6,ClD,B,+,0,,2,2,2,4,4,4,,from Stn to ClD to correct setup error on plate 13
19.I,A,1,Mdv,0,-,S,,2,2,1,1,1,1,,
19.I,A,2,EPP,0,-,S,,1,2,2,2,1,1,,
19.I,A,3,Wll,0,-,S,,2,4,4,5,7,7,,
19.I,A,4,AjW,0,-,S,,1,2,3,3,4,5,,
19.I,A,5,HBE,0,-,S,,1,2,4,4,5,6,,
19.I,A,6,Tgd,0,-,S,,1,2,2,5,5,5,,
19.I,B,1,Mdv,B,+,0,,2,4,4,4,4,4,,
19.I,B,2,EPP,B,+,0,,2,2,2,2,2,3,,
19.I,B,3,Wll,B,+,0,,1,2,3,4,4,4,,
19.I,B,4,AjW,B,+,0,,2,2,3,3,3,3,,
19.I,B,5,HBE,B,+,0,,1,1,1,1,1,1,,
19.I,B,6,Tgd,B,+,0,,2,4,5,10,10,10,,
19.I,C,1,Mdv,B,-,S,,2,2,2,1,2,2,,
19.I,C,2,EPP,B,-,S,,2,2,2,2,2,2,,
19.I,C,3,Wll,B,-,S,,1,2,2,1,2,2,,
19.I,C,4,AjW,B,-,S,,2,3,4,2,2,2,,
19.I,C,5,HBE,B,-,S,,2,2,2,4,4,4,,
19.I,C,6,Tgd,B,-,S,,2,2,2,3,3,4,,
19.I,D,1,Mdv,0,+,S,,2,2,1,1,1,1,,
19.I,D,2,EPP,0,+,S,,2,2,2,2,2,2,,
19.I,D,3,Wll,0,+,S,,2,2,2,2,3,3,,
19.I,D,4,AjW,0,+,S,,2,4,2,2,2,3,,
19.I,D,5,HBE,0,+,S,,2,4,2,3,3,3,,
19.I,D,6,Tgd,0,+,S,,3,3,3,6,4,5,,
19.II,A,1,Mdv,0,+,0,,2,2,3,4,4,4,,
19.II,A,2,EPP,0,+,0,,2,3,3,3,4,4,,
19.II,A,3,Wll,0,+,0,,2,2,2,4,5,5,,
19.II,A,4,AjW,0,+,0,,4,4,4,4,3,4,,
19.II,A,5,HBE,0,+,0,,3,3,3,7,6,5,,
19.II,A,6,Tgd,0,+,0,,2,3,3,4,7,5,,
19.II,B,1,Mdv,0,-,0,,3,3,3,3,3,3,,
19.II,B,2,EPP,0,-,0,,2,2,2,2,2,2,,
19.II,B,3,Wll,0,-,0,,2,4,3,3,3,3,,
19.II,B,4,AjW,0,-,0,,4,4,4,4,2,4,,
19.II,B,5,HBE,0,-,0,,4,4,4,4,7,9,,
19.II,B,6,Tgd,0,-,0,,2,4,4,6,6,6,,
19.II,C,1,Mdv,B,-,0,,2,2,2,4,4,4,,
19.II,C,2,EPP,B,-,0,,1,1,0,0,0,0,,
19.II,C,3,Wll,B,-,0,,2,4,6,5,5,7,,
19.II,C,4,AjW,B,-,0,,4,4,2,1,1,1,,
19.II,C,5,HBE,B,-,0,,2,3,4,6,3,6,,
19.II,C,6,Tgd,B,-,0,,2,3,3,6,6,7,,
19.II,D,1,Mdv,B,+,S,,2,2,2,2,2,2,,
19.II,D,2,EPP,B,+,S,,1,2,2,1,2,2,,
19.II,D,3,Wll,B,+,S,,1,2,4,4,4,4,,
19.II,D,4,AjW,B,+,S,,3,3,3,3,3,3,,
19.II,D,5,HBE,B,+,S,,3,3,3,4,4,4,,
19.II,D,6,Tgd,B,+,S,,2,2,4,5,7,9,,
20.I,A,1,Tph,B,+,S,,2,3,5,6,6,9,,
20.I,A,2,RdM,B,+,S,,1,2,3,4,4,4,,
20.I,A,3,Mll,B,+,S,,2,3,3,4,3,4,,
20.I,A,4,Kls,B,+,S,,1,2,3,4,4,4,,
20.I,A,5,Mll,B,+,S,,2,3,4,4,4,5,,
20.I,A,6,Wll,B,+,S,,2,3,4,6,5,6,,
20.I,B,1,Tph,B,-,0,,2,3,4,5,5,6,,
20.I,B,2,RdM,B,-,0,,3,4,4,5,5,5,,
20.I,B,3,Mll,B,-,0,,2,2,4,4,4,5,,
20.I,B,4,Kls,B,-,0,,1,2,3,4,4,4,,
20.I,B,5,Mll,B,-,0,,1,2,3,4,4,5,,
20.I,B,6,Wll,B,-,0,,2,2,2,3,3,3,,
20.I,C,1,Tph,B,-,S,,2,4,5,6,5,6,,
20.I,C,2,RdM,B,-,S,,2,2,3,4,4,4,,
20.I,C,3,Mll,B,-,S,,2,2,4,5,5,5,,
20.I,C,4,Kls,B,-,S,,2,2,2,3,3,3,,
20.I,C,5,Mll,B,-,S,,2,3,5,6,7,7,,
20.I,C,6,Wll,B,-,S,,2,4,4,5,6,6,,
20.I,D,1,Tph,0,+,0,,2,4,5,6,8,9,,
20.I,D,2,RdM,0,+,0,,2,2,4,5,5,6,,
20.I,D,3,Mll,0,+,0,,2,2,2,5,5,6,,
20.I,D,4,Kls,0,+,0,,2,2,3,4,4,6,,
20.I,D,5,Mll,0,+,0,,2,4,4,5,4,5,,
20.I,D,6,Wll,0,+,0,,2,2,4,5,6,7,,
20.II,A,1,Tph,0,-,0,,2,2,2,4,5,6,,
20.II,A,2,RdM,0,-,0,,3,3,5,5,6,7,,
20.II,A,3,Mll,0,-,0,,2,4,3,4,3,3,,
20.II,A,4,Kls,0,-,0,,2,3,5,5,5,5,,
20.II,A,5,Mll,0,-,0,,1,2,3,4,5,4,,
20.II,A,6,Wll,0,-,0,,1,2,3,4,5,7,,
20.II,B,1,Tph,B,+,0,,1,2,4,5,4,5,,
20.II,B,2,RdM,B,+,0,,1,2,3,3,3,4,,
20.II,B,3,Mll,B,+,0,,2,2,4,3,3,3,,
20.II,B,4,Kls,B,+,0,,2,3,5,5,5,5,,
20.II,B,5,Mll,B,+,0,,3,4,4,5,5,5,,
20.II,B,6,Wll,B,+,0,,2,3,4,4,4,4,,
20.II,C,1,Tph,0,+,S,,2,2,4,5,5,5,,
20.II,C,2,RdM,0,+,S,,2,1,2,3,4,4,,
20.II,C,3,Mll,0,+,S,,2,2,4,5,4,5,,
20.II,C,4,Kls,0,+,S,,3,4,6,6,4,4,,
20.II,C,5,Mll,0,+,S,,2,2,3,3,3,3,,
20.II,C,6,Wll,0,+,S,,2,4,3,7,7,7,,
20.II,D,1,Tph,0,-,S,,1,2,3,4,7,7,,
20.II,D,2,RdM,0,-,S,,1,2,2,4,5,5,,
20.II,D,3,Mll,0,-,S,,2,4,4,8,9,12,,
20.II,D,4,Kls,0,-,S,,2,3,3,4,4,4,,
20.II,D,5,Mll,0,-,S,,3,3,3,3,3,3,,
20.II,D,6,Wll,0,-,S,,3,2,3,5,5,5,,
21.I,A,1,LnH,B,+,S,,1,1,1,1,1,1,,
21.I,A,2,Ars,B,+,S,,2,2,3,4,4,4,,
21.I,A,3,Brk,B,+,S,,2,2,4,5,4,4,,
21.I,A,4,Brc,B,+,S,,4,4,5,6,6,6,,
21.I,A,5,Brc,B,+,S,,3,2,4,4,4,5,,
21.I,A,6,Stf,B,+,S,,3,3,1,1,1,1,,
21.I,B,1,LnH,0,-,S,,3,2,2,2,2,1,,
21.I,B,2,Ars,0,-,S,,3,3,5,5,5,5,,
21.I,B,3,Brk,0,-,S,,3,3,4,4,4,6,,
21.I,B,4,Brc,0,-,S,,3,3,5,5,4,5,,
21.I,B,5,Brc,0,-,S,,4,4,4,4,4,4,,
21.I,B,6,Stf,0,-,S,,4,4,1,1,1,1,,
21.I,C,1,LnH,B,-,0,,5,5,2,2,2,2,,
21.I,C,2,Ars,B,-,0,,2,3,4,5,4,5,,
21.I,C,3,Brk,B,-,0,,3,4,4,6,6,7,,
21.I,C,4,Brc,B,-,0,,3,3,5,7,8,8,,
21.I,C,5,Brc,B,-,0,,3,3,3,6,5,7,,
21.I,C,6,Stf,B,-,0,,2,2,2,4,5,4,,
21.I,D,1,LnH,0,+,0,,1,1,1,2,2,1,,
21.I,D,2,Ars,0,+,0,,1,2,3,4,4,6,,
21.I,D,3,Brk,0,+,0,,2,2,4,4,4,6,,
21.I,D,4,Brc,0,+,0,,2,3,6,7,8,7,,
21.I,D,5,Brc,0,+,0,,4,4,4,4,4,4,,
21.I,D,6,Stf,0,+,0,,2,3,3,3,3,3,,
21.II,A,1,LnH,0,-,0,,1,1,1,1,1,1,,
21.II,A,2,Ars,0,-,0,,3,2,2,3,2,4,,
21.II,A,3,Brk,0,-,0,,3,5,5,10,11,14,,
21.II,A,4,Brc,0,-,0,,2,2,3,4,6,6,,
21.II,A,5,Brc,0,-,0,,2,4,4,7,8,8,,
21.II,A,6,Stf,0,-,0,,2,2,2,2,2,1,,
21.II,B,1,LnH,B,-,S,,3,3,3,2,3,2,,
21.II,B,2,Ars,B,-,S,,2,2,4,4,4,5,,
21.II,B,3,Brk,B,-,S,,3,3,3,4,6,6,,
21.II,B,4,Brc,B,-,S,,3,3,3,4,5,7,,
21.II,B,5,Brc,B,-,S,,2,4,4,6,8,9,,
21.II,B,6,Stf,B,-,S,,3,3,2,3,3,3,,
21.II,C,1,LnH,0,+,S,,2,2,1,1,1,1,,
21.II,C,2,Ars,0,+,S,,3,3,5,4,5,6,,
21.II,C,3,Brk,0,+,S,,3,2,2,1,1,2,,
21.II,C,4,Brc,0,+,S,,4,2,4,5,7,8,,
21.II,C,5,Brc,0,+,S,,2,3,5,6,7,7,,
21.II,C,6,Stf,0,+,S,,2,2,4,5,7,7,,
21.II,D,1,LnH,B,+,0,,3,1,1,1,2,1,,
21.II,D,2,Ars,B,+,0,,4,4,8,8,7,7,,
21.II,D,3,Brk,B,+,0,,2,2,2,2,2,2,,
21.II,D,4,Brc,B,+,0,,1,1,1,1,1,1,,
21.II,D,5,Brc,B,+,0,,3,3,5,5,7,6,,
21.II,D,6,Stf,B,+,0,,2,2,1,1,1,0,,
22.I,A,1,Cny,B,-,0,,3,3,6,4,5,7,,
22.I,A,2,Dhl,B,-,0,,3,3,4,5,4,3,,
22.I,A,3,Mnt,B,-,0,,2,2,3,2,2,2,,
22.I,A,4,Mck,B,-,0,,2,3,5,6,6,6,,
22.I,A,5,Mnt,B,-,0,,2,2,2,3,2,3,,
22.I,A,6,SHB,B,-,0,,2,2,3,4,5,5,,originally Mnt but replaced with SHB at setup
22.I,B,1,Cny,B,+,0,,2,2,4,6,6,7,,
22.I,B,2,Dhl,B,+,0,,2,1,1,3,2,1,,
22.I,B,3,Mnt,B,+,0,,3,3,4,4,3,6,,
22.I,B,4,Mck,B,+,0,,2,2,2,2,2,2,,
22.I,B,5,Mnt,B,+,0,,2,2,4,4,2,4,,
22.I,B,6,SHB,B,+,0,,2,3,4,4,7,7,,originally Mnt but replaced with SHB at setup
22.I,C,1,Cny,0,-,0,,2,3,3,4,4,4,,
22.I,C,2,Dhl,0,-,0,,2,2,1,1,1,1,,
22.I,C,3,Mnt,0,-,0,,3,5,6,9,9,10,,
22.I,C,4,Mck,0,-,0,,2,4,5,6,6,6,,
22.I,C,5,Mnt,0,-,0,,2,2,3,3,2,3,,
22.I,C,6,SHB,0,-,0,,2,2,4,4,4,5,,originally Mnt but replaced with SHB at setup
22.I,D,1,Cny,B,+,S,,1,1,2,2,2,2,,
22.I,D,2,Dhl,B,+,S,,2,2,2,2,2,2,,
22.I,D,3,Mnt,B,+,S,,2,2,3,3,3,3,,
22.I,D,4,Mck,B,+,S,,2,2,2,2,2,4,,
22.I,D,5,Mnt,B,+,S,,3,3,5,5,2,4,,
22.I,D,6,SHB,B,+,S,,3,3,3,3,4,5,,originally Mnt but replaced with SHB at setup
22.II,A,1,Cny,0,+,S,,3,2,2,2,3,3,,
22.II,A,2,Dhl,0,+,S,,2,2,3,4,4,4,,
22.II,A,3,Mnt,0,+,S,,2,2,3,5,3,3,,
22.II,A,4,Mck,0,+,S,,3,2,2,2,3,3,,
22.II,A,5,Mnt,0,+,S,,2,2,2,2,2,2,,
22.II,A,6,SHB,0,+,S,,4,4,1,1,1,1,,originally Mnt but replaced with SHB at setup
22.II,B,1,Cny,0,-,S,,2,2,3,3,4,3,,
22.II,B,2,Dhl,0,-,S,,3,3,3,3,4,3,,
22.II,B,3,Mnt,0,-,S,,3,3,5,5,4,5,,
22.II,B,4,Mck,0,-,S,,4,5,4,4,4,4,,
22.II,B,5,Mnt,0,-,S,,2,2,3,3,2,1,,
22.II,B,6,SHB,0,-,S,,2,2,4,5,6,4,,originally Mnt but replaced with SHB at setup
22.II,C,1,Cny,0,+,0,,2,2,1,1,1,1,,
22.II,C,2,Dhl,0,+,0,,2,3,3,3,3,3,,
22.II,C,3,Mnt,0,+,0,,3,5,4,4,4,4,,
22.II,C,4,Mck,0,+,0,,2,2,2,2,3,3,,
22.II,C,5,Mnt,0,+,0,,2,4,5,3,4,4,,
22.II,C,6,SHB,0,+,0,,2,2,3,3,6,5,,originally Mnt but replaced with SHB at setup
22.II,D,1,Cny,B,-,S,,3,3,3,4,2,2,,
22.II,D,2,Dhl,B,-,S,,3,2,2,3,3,3,,
22.II,D,3,Mnt,B,-,S,,2,2,2,2,2,2,,
22.II,D,4,Mck,B,-,S,,3,4,3,4,2,2,,
22.II,D,5,Mnt,B,-,S,,2,2,3,3,2,2,,
22.II,D,6,SHB,B,-,S,,2,3,4,4,5,6,,originally Mnt but replaced with SHB at setup
23.I,A,1,Lyt,B,-,S,,4,4,4,8,8,8,,
23.I,A,2,Grn,B,-,S,,3,3,3,2,2,2,,
23.I,A,3,Wlp,B,-,S,,2,2,2,2,1,1,,
23.I,A,4,Mnt,B,-,S,,3,4,4,8,6,6,,
23.I,A,5,UTM,B,-,S,,4,4,8,6,6,6,,
23.I,A,6,SHB,B,-,S,,3,3,5,5,5,5,,originally SHB but replaced with Mnt at setup
23.I,B,1,Lyt,0,+,0,,2,2,5,5,6,6,,
23.I,B,2,Grn,0,+,0,,2,2,3,2,1,1,,
23.I,B,3,Wlp,0,+,0,,3,3,2,2,2,2,,
23.I,B,4,Mnt,0,+,0,,2,2,2,5,5,5,,
23.I,B,5,UTM,0,+,0,,2,3,7,7,6,5,,
23.I,B,6,SHB,0,+,0,,4,4,7,5,5,5,,originally SHB but replaced with Mnt at setup
23.I,C,1,Lyt,0,-,0,,3,4,6,6,6,6,,
23.I,C,2,Grn,0,-,0,,4,4,4,4,4,4,,
23.I,C,3,Wlp,0,-,0,,2,3,4,4,4,3,,
23.I,C,4,Mnt,0,-,0,,2,2,4,6,5,5,,
23.I,C,5,UTM,0,-,0,,2,4,6,6,6,6,,
23.I,C,6,SHB,0,-,0,,2,2,2,2,2,2,,originally SHB but replaced with Mnt at setup
23.I,D,1,Lyt,B,+,S,,2,2,4,4,6,4,,
23.I,D,2,Grn,B,+,S,,2,2,3,3,2,3,,
23.I,D,3,Wlp,B,+,S,,2,2,2,3,2,3,,
23.I,D,4,Mnt,B,+,S,,3,2,3,5,5,8,,
23.I,D,5,UTM,B,+,S,,3,3,5,5,4,3,,
23.I,D,6,SHB,B,+,S,,2,4,6,8,6,6,,originally SHB but replaced with Mnt at setup
23.II,A,1,Lyt,0,-,S,,2,2,4,5,3,3,,
23.II,A,2,Grn,0,-,S,,2,2,2,2,1,2,,
23.II,A,3,Wlp,0,-,S,,3,2,3,3,3,3,,
23.II,A,4,Mnt,0,-,S,,2,2,3,3,2,2,,
23.II,A,5,UTM,0,-,S,,2,2,4,4,6,6,,
23.II,A,6,SHB,0,-,S,,3,2,4,1,0,0,,originally SHB but replaced with Mnt at setup
23.II,B,1,Lyt,B,+,0,,3,3,6,9,9,8,,
23.II,B,2,Grn,B,+,0,,2,3,6,6,5,4,,
23.II,B,3,Wlp,B,+,0,,3,3,2,2,3,3,,
23.II,B,4,Mnt,B,+,0,,2,2,4,8,9,10,,
23.II,B,5,UTM,B,+,0,,2,2,4,6,6,5,,
23.II,B,6,SHB,B,+,0,,2,2,4,3,3,4,,originally SHB but replaced with Mnt at setup
23.II,C,1,Lyt,0,+,S,,3,4,4,6,7,6,,
23.II,C,2,Grn,0,+,S,,2,2,2,2,3,2,,
23.II,C,3,Wlp,0,+,S,,2,4,4,4,4,5,,
23.II,C,4,Mnt,0,+,S,,2,3,3,4,5,5,,
23.II,C,5,UTM,0,+,S,,2,2,4,4,4,4,,
23.II,C,6,SHB,0,+,S,,2,2,3,3,2,3,,originally SHB but replaced with Mnt at setup
23.II,D,1,Lyt,B,-,0,,2,2,4,5,6,6,,
23.II,D,2,Grn,B,-,0,,3,2,3,3,2,2,,
23.II,D,3,Wlp,B,-,0,,2,2,3,3,2,2,,
23.II,D,4,Mnt,B,-,0,,2,1,4,6,9,9,,
23.II,D,5,UTM,B,-,0,,2,2,3,3,4,4,,
23.II,D,6,SHB,B,-,0,,2,2,4,4,5,5,,originally SHB but replaced with Mnt at setup
24.I,A,1,LnH,B,-,0,,3,2,1,1,2,2,,
24.I,A,2,Sgb,B,-,0,,2,1,1,1,1,1,,
24.I,A,3,Stf,B,-,0,,2,2,1,1,1,0,,
24.I,A,4,HBE,B,-,0,,2,4,5,7,6,6,,
24.I,A,5,Brk,B,-,0,,1,2,3,3,5,5,,
24.I,A,6,EPP,B,-,0,,2,3,1,2,3,3,,
24.I,B,1,LnH,0,-,0,,2,2,2,2,2,2,,
24.I,B,2,Sgb,0,-,0,,3,3,1,1,1,1,,
24.I,B,3,Stf,0,-,0,,3,3,1,1,1,1,,
24.I,B,4,HBE,0,-,0,,3,3,1,2,2,2,,
24.I,B,5,Brk,0,-,0,,4,4,2,3,3,3,,
24.I,B,6,EPP,0,-,0,,4,4,4,4,3,3,,
24.I,C,1,LnH,B,+,0,,2,2,2,1,1,1,,
24.I,C,2,Sgb,B,+,0,,2,2,1,2,2,1,,
24.I,C,3,Stf,B,+,0,,2,2,2,2,2,3,,
24.I,C,4,HBE,B,+,0,,3,2,3,3,2,3,,
24.I,C,5,Brk,B,+,0,,2,2,2,2,2,3,,
24.I,C,6,EPP,B,+,0,,3,2,4,3,2,3,,
24.I,D,1,LnH,0,-,S,,2,3,3,4,4,5,,
24.I,D,2,Sgb,0,-,S,,3,2,2,2,2,2,,
24.I,D,3,Stf,0,-,S,,2,1,1,1,1,2,,
24.I,D,4,HBE,0,-,S,,2,2,2,3,4,5,,
24.I,D,5,Brk,0,-,S,,2,2,2,4,5,5,,
24.I,D,6,EPP,0,-,S,,2,2,3,1,2,1,,
24.II,A,1,LnH,B,+,S,,2,1,2,2,2,2,,
24.II,A,2,Sgb,B,+,S,,2,1,1,1,1,0,,
24.II,A,3,Stf,B,+,S,,4,4,1,1,1,1,,
24.II,A,4,HBE,B,+,S,,4,4,4,4,5,5,,
24.II,A,5,Brk,B,+,S,,2,2,4,6,6,6,,
24.II,A,6,EPP,B,+,S,,1,1,1,1,1,1,,
24.II,B,1,LnH,B,-,S,,2,2,2,2,1,2,,
24.II,B,2,Sgb,B,-,S,,2,1,1,1,1,0,,
24.II,B,3,Stf,B,-,S,,2,3,2,2,2,2,,
24.II,B,4,HBE,B,-,S,,1,1,1,1,0,0,,
24.II,B,5,Brk,B,-,S,,2,2,4,4,4,4,,
24.II,B,6,EPP,B,-,S,,2,2,2,2,2,1,,
24.II,C,1,LnH,0,+,S,,2,2,3,6,5,6,,
24.II,C,2,Sgb,0,+,S,,1,1,1,1,1,1,,
24.II,C,3,Stf,0,+,S,,1,1,2,2,1,2,,
24.II,C,4,HBE,0,+,S,,2,2,1,2,2,2,,
24.II,C,5,Brk,0,+,S,,2,3,2,2,2,3,,
24.II,C,6,EPP,0,+,S,,2,2,3,2,2,3,,
24.II,D,1,LnH,0,+,0,,3,3,3,3,4,4,,
24.II,D,2,Sgb,0,+,0,,3,3,3,3,3,2,,
24.II,D,3,Stf,0,+,0,,3,3,2,3,3,2,,
24.II,D,4,HBE,0,+,0,,2,2,4,5,6,7,,
24.II,D,5,Brk,0,+,0,,3,3,4,4,6,7,,
24.II,D,6,EPP,0,+,0,,2,2,3,3,3,3,,
25.I,A,1,HBE,0,-,0,,2,3,3,4,5,6,,
25.I,A,2,EPP,0,-,0,,3,3,2,2,1,1,,
25.I,A,3,Ars,0,-,0,,2,3,6,6,4,6,,
25.I,A,4,Sgb,0,-,0,,2,1,2,3,2,3,,
25.I,A,5,Mdv,0,-,0,,3,1,1,2,3,3,,
25.I,A,6,McC,0,-,0,,2,2,4,5,5,5,,
25.I,B,1,HBE,B,+,0,,2,4,4,6,9,9,,
25.I,B,2,EPP,B,+,0,,2,1,1,1,2,2,,
25.I,B,3,Ars,B,+,0,,3,2,2,5,3,3,,
25.I,B,4,Sgb,B,+,0,,3,1,1,2,3,3,,
25.I,B,5,Mdv,B,+,0,,2,1,1,1,1,1,,
25.I,B,6,McC,B,+,0,,2,2,4,5,7,10,,
25.I,C,1,HBE,B,+,S,,2,4,6,6,7,11,,
25.I,C,2,EPP,B,+,S,,2,2,1,1,1,2,,
25.I,C,3,Ars,B,+,S,,2,2,4,5,6,7,,
25.I,C,4,Sgb,B,+,S,,2,2,1,1,1,1,,
25.I,C,5,Mdv,B,+,S,,3,1,2,5,5,6,,
25.I,C,6,McC,B,+,S,,2,3,4,3,3,4,,
25.I,D,1,HBE,B,-,0,,3,4,4,7,8,16,,
25.I,D,2,EPP,B,-,0,,2,2,2,2,2,1,,
25.I,D,3,Ars,B,-,0,,2,3,4,4,2,4,,
25.I,D,4,Sgb,B,-,0,,3,3,1,3,3,2,,
25.I,D,5,Mdv,B,-,0,,3,3,1,2,2,2,,
25.I,D,6,McC,B,-,0,,4,5,5,8,8,8,,
25.II,A,1,HBE,B,-,S,,3,4,4,6,5,9,,
25.II,A,2,EPP,B,-,S,,3,2,3,3,2,3,,
25.II,A,3,Ars,B,-,S,,2,3,4,4,4,5,,
25.II,A,4,Sgb,B,-,S,,2,2,1,1,2,2,,
25.II,A,5,Mdv,B,-,S,,3,3,3,4,4,6,,
25.II,A,6,McC,B,-,S,,2,4,7,10,9,11,,
25.II,B,1,HBE,0,+,0,,2,2,4,4,8,10,,
25.II,B,2,EPP,0,+,0,,3,2,2,1,2,2,,
25.II,B,3,Ars,0,+,0,,2,2,4,4,3,3,,
25.II,B,4,Sgb,0,+,0,,2,2,1,1,1,1,,
25.II,B,5,Mdv,0,+,0,,2,2,1,1,1,1,,
25.II,B,6,McC,0,+,0,,5,5,5,5,5,7,,
25.II,C,1,HBE,0,-,S,,2,3,5,9,11,13,,
25.II,C,2,EPP,0,-,S,,2,2,1,1,1,1,,
25.II,C,3,Ars,0,-,S,,2,2,4,5,5,5,,
