notes,collector,plate,row,column,ROI,,,,,,,,,
,DL,7.1,C,5,37,47,,,,,,,,
,DL,7.1,C,4,40,,,,,,,,,
,DL,7.1,C,3,43,39,,,,,,,,
,DL,7.1,C,2,41,46,48,,,,,,,
,DL,7.1,C,1,44,45,49,51,52,,,,,
,DL,7.1,B,6,56,71,,,,,,,,
,DL,7.1,B,5,62,64,,,,,,,,
,DL,7.1,B,4,66,73,75,,,,,,,
,DL,7.1,B,3,65,77,76,86,,,,,,
,DL,7.1,B,2,59,63,67,68,80,82,,,,
,DL,7.1,B,1,57,61,69,70,74,79,,,,
,DL,7.1,A,6,145,,,,,,,,,
,DL,7.1,A,5,107,110,146,,,,,,,
,DL,7.1,A,4,114,116,121,,,,,,,
,DL,7.1,A,3,99,106,103,,,,,,,
,DL,7.1,A,2,102,112,115,120,124,,,,,
,DL,7.1,A,1,98,96,109,104,117,118,,,,
,DL,7.2,D,6,107,,,,,,,,,
,DL,7.2,D,5,13,,,,,,,,,
,DL,7.2,D,4,14,12,,,,,,,,
,DL,7.2,D,3,25,20,18,,,,,,,
,DL,7.2,D,2,16,19,10,24,29,,,,,
,DL,7.2,D,1,9,17,30,,,,,,,
,DL,7.2,C,6,36,46,,,,,,,,
,DL,7.2,C,5,35,37,38,,,,,,,
,DL,7.2,C,4,42,,,,,,,,,
,DL,7.2,C,3,39,43,44,40,,,,,,
,DL,7.2,C,2,47,41,45,48,50,,,,,
,DL,7.2,C,1,34,49,,,,,,,,
,DL,7.2,B,6,108,,,,,,,,,
,DL,7.2,B,5,66,69,,,,,,,,
,DL,7.2,B,4,55,58,60,,,,,,,
,DL,7.2,B,3,62,67,68,,,,,,,
,DL,7.2,B,2,61,70,72,,,,,,,
,DL,7.2,B,1,53,34,56,59,57,64,63,71,65,
,DL,7.2,A,6,84,83,,,,,,,,
,DL,7.2,A,5,79,,,,,,,,,
,DL,7.2,A,4,93,,,,,,,,,
,DL,7.2,A,3,83,85,95,91,,,,,,
,DL,7.2,A,2,74,75,78,96,100,,,,,
