notes,Scorer,plate,row,column,ROI,,,,,,,,,,,,,,
,MG,4.1,C,6,112,117,118,,,,,,,,,,,,
,MG,4.1,D,1,158,,,,,,,,,,,,,,
,MG,4.1,D,2,147,153,152,,,,,,,,,,,,
,MG,4.1,D,3,145,149,157,180,,,,,,,,,,,
,MG,4.1,D,4,150,159,,,,,,,,,,,,,
,MG,4.1,D,5,154,,,,,,,,,,,,,,
,MG,4.1,D,6,202,203,,,,,,,,,,,,,
,MG,4.2,A,1,31,44,48,,,,,,,,,,,,
,MG,4.2,A,2,24,29,39,211,,,,,,,,,,,
,MG,4.2,A,3,35,,,,,,,,,,,,,,
,MG,4.2,A,4,26,34,,,,,,,,,,,,,
,MG,4.2,A,5,27,25,,,,,,,,,,,,,
,MG,4.2,A,6,212,,,,,,,,,,,,,,
,MG,4.2,B,1,72,,,,,,,,,,,,,,
,MG,4.2,B,2,69,81,,,,,,,,,,,,,
,MG,4.2,B,3,73,86,93,95,,,,,,,,,,,
,MG,4.2,B,4,74,84,,,,,,,,,,,,,
,MG,4.2,B,5,71,67,,,,,,,,,,,,,
,MG,4.2,B,6,77,85,82,91,213,,,,,,,,,,
,MG,4.2,C,1,119,125,,,,,,,,,,,,,
,MG,4.2,C,2,124,134,,,,,,,,,,,,,
,MG,4.2,C,3,128,144,148,142,,,,,,,,,,,
,MG,4.2,C,4,110,123,117,,,,,,,,,,,,
,MG,4.2,C,5,129,,,,,,,,,,,,,,
,MG,4.2,C,6,130,137,120,121,122,,,,,,,,,,
,MG,4.2,D,1,177,,,,,,,,,,,,,,
,MG,4.2,D,2,188,198,214,,,,,,,,,,,,
,MG,4.2,D,3,178,164,169,171,,,,,,,,,,,
,MG,4.2,D,4,181,,,,,,,,,,,,,,
,MG,4.2,D,5,215,,,,,,,,,,,,,,
,MG,4.2,D,6,173,183,,,,,,,,,,,,,
,MG,5.1,A,1,18,21,,,,,,,,,,,,,
,MG,5.1,A,2,4,9,5,,,,,,,,,,,,
,MG,5.1,A,3,12,27,,,,,,,,,,,,,
,MG,5.1,A,4,11,,,,,,,,,,,,,,
,MG,5.1,A,5,15,16,,,,,,,,,,,,,
,MG,5.1,A,6,19,,,,,,,,,,,,,,
,MG,5.1,B,1,46,,,,,,,,,,,,,,
,MG,5.1,B,2,44,,,,,,,,,,,,,,
,MG,5.1,B,3,151,152,,,,,,,,,,,,,
,MG,5.1,B,4,36,153,,,,,,,,,,,,,
,MG,5.1,B,5,45,48,,,,,,,,,,,,,
,MG,5.1,B,6,41,,,,,,,,,,,,,,
,MG,5.1,C,1,84,78,154,155,,,,,,,,,,,
,MG,5.1,C,2,92,88,156,,,,,,,,,,,,
,MG,5.1,C,3,63,,,,,,,,,,,,,,
,MG,5.1,C,4,72,70,75,,,,,,,,,,,,
,MG,5.1,C,5,65,76,99,,,,,,,,,,,,
,MG,5.1,C,6,68,77,,,,,,,,,,,,,
,MG,5.1,D,1,126,157,,,,,,,,,,,,,
,MG,5.1,D,2,117,,,,,,,,,,,,,,
,MG,5.1,D,3,158,,,,,,,,,,,,,,
,MG,5.1,D,4,129,136,138,,,,,,,,,,,,
,MG,5.1,D,5,127,130,,,,,,,,,,,,,
,MG,5.1,D,6,122,,,,,,,,,,,,,,
,MG,5.2,A,1,41,50,154,,,,,,,,,,,,
,MG,5.2,A,2,30,,,,,,,,,,,,,,
,MG,5.2,A,3,155,,,,,,,,,,,,,,
,MG,5.2,A,4,23,,,,,,,,,,,,,,
,MG,5.2,A,5,32,43,,,,,,,,,,,,,
,MG,5.2,A,6,38,,,,,,,,,,,,,,
,MG,5.2,B,1,63,70,71,76,73,65,,,,,,,,,
,MG,5.2,B,2,67,,,,,,,,,,,,,,
