collector,plate,row,column,ROI,,,,,,,,,,
SP,34.2,C,1,42,44,,,,,,,,,
SP,34.2,B,6,18,28,26,33,,,,,,,
SP,34.2,B,5,20,29,,,,,,,,,
SP,34.2,B,4,19,27,34,,,,,,,,
SP,34.2,B,3,22,30,,,,,,,,,
SP,34.2,B,2,21,23,31,,,,,,,,
SP,34.2,B,1,24,25,,,,,,,,,
SP,34.2,A,6,4,14,,,,,,,,,
SP,34.2,A,5,8,11,,,,,,,,,
SP,34.2,A,4,5,,,,,,,,,,
SP,34.2,A,3,17,12,,,,,,,,,
SP,34.2,A,2,10,13,,,,,,,,,
SP,34.2,A,1,7,15,,,,,,,,,
SP,35.1,D,6,41,39,,,,,,,,,
SP,35.1,D,5,44,50,,,,,,,,,
SP,35.1,D,4,38,45,49,,,,,,,,
SP,35.1,D,3,51,46,40,,,,,,,,
SP,35.1,D,2,47,42,,,,,,,,,
SP,35.1,D,1,43,48,,,,,,,,,
SP,35.1,C,6,27,34,,,,,,,,,
SP,35.1,C,5,33,26,,,,,,,,,
SP,35.1,C,4,28,35,,,,,,,,,
SP,35.1,C,3,32,36,,,,,,,,,
SP,35.1,C,2,31,37,,,,,,,,,
SP,35.1,C,1,30,29,,,,,,,,,
SP,35.1,B,6,14,24,,,,,,,,,
SP,35.1,B,5,22,17,,,,,,,,,
SP,35.1,B,4,16,25,,,,,,,,,
SP,35.1,B,3,19,23,,,,,,,,,
SP,35.1,B,2,15,21,,,,,,,,,
SP,35.1,B,1,20,13,,,,,,,,,
SP,35.1,A,6,4,3,,,,,,,,,
SP,35.1,A,5,8,12,,,,,,,,,
SP,35.1,A,4,2,9,,,,,,,,,
SP,35.1,A,3,6,,,,,,,,,,
SP,35.1,A,2,5,10,11,,,,,,,,
SP,35.1,A,1,7,,,,,,,,,,
SP,35.2,D,6,45,54,,,,,,,,,
SP,35.2,D,5,46,53,,,,,,,,,
SP,35.2,D,4,47,51,,,,,,,,,
SP,35.2,D,3,44,43,50,,,,,,,,
SP,35.2,D,2,49,48,,,,,,,,,
SP,35.2,D,1,42,52,,,,,,,,,
SP,35.2,C,6,36,39,,,,,,,,,
SP,35.2,C,5,37,32,38,,,,,,,,
SP,35.2,C,4,33,,,,,,,,,,
SP,35.2,C,3,31,34,41,,,,,,,,
SP,35.2,C,2,35,,,,,,,,,,
SP,35.2,C,1,30,40,,,,,,,,,
SP,35.2,B,6,24,28,,,,,,,,,
SP,35.2,B,5,23,21,,,,,,,,,
SP,35.2,B,4,18,,,,,,,,,,
SP,35.2,B,3,22,25,16,27,,,,,,,
SP,35.2,B,2,17,20,,,,,,,,,
SP,35.2,B,1,26,29,,,,,,,,,
SP,35.2,A,6,3,9,,,,,,,,,
SP,35.2,A,5,8,14,12,,,,,,,,
SP,35.2,A,4,6,,,,,,,,,,
SP,35.2,A,3,5,11,13,,,,,,,,
SP,35.2,A,2,4,15,,,,,,,,,
SP,35.2,A,1,7,10,,,,,,,,,
SP,36.1,D,6,50,,,,,,,,,,
SP,36.1,D,5,47,56,,,,,,,,,
SP,36.1,D,4,49,51,,,,,,,,,
SP,36.1,D,3,46,53,,,,,,,,,
SP,36.1,D,2,45,48,52,54,58,57,,,,,
SP,36.1,D,1,44,55,,,,,,,,,
SP,36.1,C,6,33,36,,,,,,,,,
SP,36.1,C,5,34,42,,,,,,,,,
SP,36.1,C,4,35,,,,,,,,,,
SP,36.1,C,3,32,40,,,,,,,,,
SP,36.1,C,2,38,41,,,,,,,,,
SP,36.1,C,1,31,39,,,,,,,,,
SP,36.1,B,6,17,,,,,,,,,,
SP,36.1,B,5,24,21,27,,,,,,,,
SP,36.1,B,4,22,26,,,,,,,,,
SP,36.1,B,3,28,20,,,,,,,,,
SP,36.1,B,2,18,19,25,,,,,,,,
SP,36.1,B,1,23,,,,,,,,,,
SP,36.1,A,6,7,,,,,,,,,,
SP,36.1,A,5,2,10,15,,,,,,,,
SP,36.1,A,4,1,,,,,,,,,,
SP,36.1,A,3,3,11,,,,,,,,,
SP,36.1,A,2,5,13,9,,,,,,,,
SP,36.1,A,1,4,6,14,,,,,,,,
SP,36.2,D,6,43,,,,,,,,,,
SP,36.2,D,5,48,,,,,,,,,,
SP,36.2,D,4,45,,,,,,,,,,
SP,36.2,D,3,46,47,,,,,,,,,
SP,36.2,D,2,44,49,,,,,,,,,
SP,36.2,D,1,42,,,,,,,,,,
SP,36.2,C,6,36,30,,,,,,,,,
SP,36.2,C,5,31,38,,,,,,,,,
SP,36.2,C,4,34,,,,,,,,,,
SP,36.2,C,3,35,28,40,,,,,,,,
SP,36.2,C,2,32,37,,,,,,,,,
SP,36.2,C,1,29,33,,,,,,,,,
SP,36.2,B,6,17,,,,,,,,,,
SP,36.2,B,5,18,27,26,,,,,,,,
SP,36.2,B,4,16,25,,,,,,,,,
SP,36.2,B,3,15,19,23,,,,,,,,
SP,36.2,B,2,21,20,,,,,,,,,
SP,36.2,B,1,22,24,,,,,,,,,
SP,36.2,A,6,8,9,,,,,,,,,
SP,36.2,A,5,3,10,14,,,,,,,,
SP,36.2,A,4,4,11,,,,,,,,,
SP,36.2,A,3,5,12,,,,,,,,,
SP,36.2,A,2,7,13,,,,,,,,,
SP,36.2,A,1,6,,,,,,,,,,
SP,37.1,D,6,51,,,,,,,,,,
SP,37.1,D,5,52,55,,,,,,,,,
SP,37.1,D,4,47,48,,,,,,,,,
SP,37.1,D,3,50,53,54,,,,,,,,
SP,37.1,D,2,49,,,,,,,,,,
SP,37.1,D,1,56,57,,,,,,,,,
SP,37.1,C,6,33,41,,,,,,,,,
SP,37.1,C,5,35,,,,,,,,,,
SP,37.1,C,4,39,,,,,,,,,,
SP,37.1,C,3,36,45,,,,,,,,,
SP,37.1,C,2,37,40,46,,,,,,,,
SP,37.1,C,1,38,44,,,,,,,,,
SP,37.1,B,6,14,21,,,,,,,,,
SP,37.1,B,5,18,,,,,,,,,,
SP,37.1,B,4,15,,,,,,,,,,
SP,37.1,B,3,13,16,20,,,,,,,,
SP,37.1,B,2,22,24,27,,,,,,,,
SP,37.1,B,1,19,23,,,,,,,,,
SP,37.1,A,6,2,4,,,,,,,,,
SP,37.1,A,5,3,,,,,,,,,,
SP,37.1,A,4,10,12,,,,,,,,,
SP,37.1,A,3,6,8,11,,,,,,,,
SP,37.1,A,2,5,9,,,,,,,,,
SP,37.1,A,1,7,,,,,,,,,,
SP,37.2,D,6,40,48,50,,,,,,,,
SP,37.2,D,5,44,,,,,,,,,,
SP,37.2,D,4,45,,,,,,,,,,
SP,37.2,D,3,41,49,,,,,,,,,
SP,37.2,D,2,46,42,,,,,,,,,
