id,Plate,Plate Rep,Genotype,Salt,Microbes,Row,Column,lon,lat,conc_corrected,BZT_percent_d,X10.FN,od600,od750,BZTalanine,glycosylatedBZT,BZTacetylalanine,aniline,amino_3_phenol,phenazine,methylBZT,methoxyBZT,km,density
19.1.B5,19,1,HBE,0,Yes,B,5,79.477222,43.620278,0.1138630946,88.6136905358,1,0.0415,0.041,5.59E-012,8.20E-013,0,5.74E-012,0,0,0,4.42E-012,8.414886774,6771.2156320371
19.1.C1,19,1,Mdv,0.8,No,C,1,79.7357,43.6211,0.123015733,87.698426702,2,0.054,0.045,6.46E-012,0,0,3.45E-011,0,0,4.36E-012,0,28.6229455005,8397.5387875238
19.1.C5,19,1,HBE,0.8,No,C,5,79.477222,43.620278,0.101119126,89.8880874027,4,0.0795,0.0755,2.76E-011,4.58E-012,0,5.76E-012,0,7.56E-012,0,2.76E-012,8.414886774,6771.2156320371
19.2.C1,19,2,Mdv,0,No,C,1,79.7357,43.6211,0.0780219526,92.1978047414,4,0.048,0.0425,0,0,7.23E-013,1.97E-011,0,0,1.68E-011,4.09E-013,28.6229455005,8397.5387875238
19.2.C5,19,2,HBE,0,No,C,5,79.477222,43.620278,0.0689201025,93.1079897463,6,0.0435,0.044,1.28E-011,3.92E-012,0,2.92E-012,0,0,7.18E-012,3.85E-012,8.414886774,6771.2156320371
19.2.D1,19,2,Mdv,0.8,Yes,D,1,79.7357,43.6211,0.1011226443,89.8877355711,2,0.0625,0.053,0,5.11E-013,1.30E-012,4.12E-011,0,0,3.94E-011,4.55E-013,28.6229455005,8397.5387875238
19.2.D5,19,2,HBE,0.8,Yes,D,5,79.477222,43.620278,0.0751932975,92.4806702536,4,0.0405,0.039,5.56E-012,5.12E-012,0,4.04E-012,0,0,5.08E-012,1.11E-012,8.414886774,6771.2156320371
2.1.B2,2,1,RdM,0.8,Yes,B,2,76.743675,44.769978,0.1097527,89.0247300002,9,0.0465,0.042,0,6.81E-012,0,1.37E-011,1.40E-011,4.24E-012,9.77E-012,1.56E-012,244.5447241801,1120.5178111356
2.1.B3,2,1,Kls,0.8,Yes,B,3,79.945209,43.505815,0.0921829515,90.7817048521,6,0.1325,0.1125,0,8.33E-012,8.52E-013,1.02E-011,1.50E-011,0,0,1.12E-012,48.1996629383,2000.1241797469
2.1.B5,2,1,Arb,0.8,Yes,B,5,79.7485,43.4353,0.0666136987,93.3386301302,2,0.0515,0.045,7.61E-012,0,2.11E-012,1.50E-011,0,0,0,7.02E-013,38.1731833599,7263.8327417287
2.1.C2,2,1,RdM,0,Yes,C,2,76.743675,44.769978,0.1388912008,86.1108799175,5,0.1015,0.0915,7.26E-012,5.74E-012,0,4.87E-012,3.18E-011,0,0,9.27E-012,244.5447241801,1120.5178111356
2.1.C3,2,1,Kls,0,Yes,C,3,79.945209,43.505815,0.0891038272,91.0896172796,2,0.062,0.057,0,3.79E-012,0,9.43E-012,0,2.50E-012,5.39E-012,1.38E-011,48.1996629383,2000.1241797469
2.1.C5,2,1,Arb,0,Yes,C,5,79.7485,43.4353,0.1003232558,89.9676744203,3,0.056,0.051,1.65E-011,0,1.25E-012,3.88E-012,1.26E-011,0,0,1.04E-012,38.1731833599,7263.8327417287
2.1.D2,2,1,RdM,0.8,No,D,2,76.743675,44.769978,0.1602679898,83.9732010157,5,0.0485,0.042,0,5.48E-012,0,9.88E-012,1.41E-011,2.12E-012,6.12E-012,4.44E-012,244.5447241801,1120.5178111356
2.1.D3,2,1,Kls,0.8,No,D,3,79.945209,43.505815,0.1515841453,84.8415854745,6,0.05,0.044,0,5.87E-012,0,6.11E-012,2.11E-011,4.59E-012,8.68E-012,7.99E-013,48.1996629383,2000.1241797469
2.1.D5,2,1,Arb,0.8,No,D,5,79.7485,43.4353,0.06002846,93.9971539968,2,0.0575,0.0485,0,0,0,1.09E-011,0,2.18E-012,1.05E-011,7.54E-013,38.1731833599,7263.8327417287
2.2.A2,2,2,RdM,0,No,A,2,76.743675,44.769978,0.027929077,97.2070922993,5,0.0505,0.0455,0,5.11E-012,0,7.99E-012,0,2.87E-012,1.24E-011,4.32E-013,244.5447241801,1120.5178111356
2.2.A3,2,2,Kls,0,No,A,3,79.945209,43.505815,0.1015123582,89.8487641754,8,0.056,0.049,0,7.47E-012,0,1.03E-011,0,3.26E-012,5.87E-012,1.47E-012,48.1996629383,2000.1241797469
2.2.A5,2,2,Arb,0,No,A,5,79.7485,43.4353,0.0725698427,92.7430157282,3,0.1815,0.176,0,9.28E-012,0,7.89E-012,0,0,6.58E-012,4.24E-013,38.1731833599,7263.8327417287
20.1.A4,20,1,Kls,0.8,Yes,A,4,79.945209,43.505815,0.0839459809,91.6054019128,4,0.0445,0.045,0,7.14E-012,0,8.66E-012,0,2.85E-012,0,4.09E-012,48.1996629383,2000.1241797469
